golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Secession Golf course,18,United States,South Carolina,Beaufort,32.3933115,-80.6619106,13,17,1,11,9,15,3,7,5,12,8,6,2,10,16,18,14,4,4,3,4,4,5,4,4,3,5,5,4,4,4,4,3,5,3,4,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue,Black|Blue
Dawat Island - Cotton Dike Course,18,United States,South Carolina,Beaufort,32.4316424,-80.5884932,13,17,9,15,11,3,5,7,1,6,14,18,4,12,8,16,2,10,4,3,5,4,3,4,5,4,4,4,4,3,5,4,4,3,4,5,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Dawat Island - Morgan River Course,18,United States,South Carolina,Beaufort,32.4316424,-80.5884932,13,11,1,7,9,17,3,15,5,8,2,16,6,14,18,12,4,10,4,4,4,5,4,3,4,3,5,4,5,4,4,4,3,3,5,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
The Legends - Parris Island,18,United States,South Carolina,Beaufort,32.3065426,-80.6808023,14,10,18,12,6,16,8,2,4,15,9,3,7,17,11,5,1,13,4,5,3,4,4,3,4,4,5,3,5,4,5,3,4,4,4,4,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold
