golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Pease Golf Course - Front to Back,18,United States,New Hampshire,Portsmouth,43.0590455,-70.8156705,3,1,17,11,5,13,7,9,15,12,16,6,2,14,4,18,10,8,5,5,3,4,4,4,4,4,3,4,3,4,5,3,5,3,4,4,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green
Pease Golf Course - Back to Blue,18,United States,New Hampshire,Portsmouth,43.0590455,-70.8156705,12,16,6,2,14,4,18,10,8,13,9,17,15,11,3,7,5,1,4,3,4,5,3,5,3,4,4,4,5,3,4,4,4,3,4,5,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green
Pease Golf Course - Front to Blue,18,United States,New Hampshire,Portsmouth,43.0590455,-70.8156705,3,1,17,11,5,13,7,9,15,14,10,18,16,12,4,8,6,2,5,5,3,4,4,4,4,4,3,4,5,3,4,4,4,3,4,5,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green
Pease Golf Course - Spring to Blue,18,United States,New Hampshire,Portsmouth,43.0590455,-70.8156705,3,1,13,11,15,5,17,9,7,10,2,18,14,6,8,16,12,4,5,5,3,4,3,4,3,4,4,4,5,3,4,4,4,3,4,5,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green,Black|White|Gold|Green
Vaaler Creek Golf Club,18,United States,Texas,Blanco,30.0423488,-98.3840151,15,3,1,9,5,7,13,17,11,10,12,14,6,16,8,18,4,2,4,4,4,5,3,4,4,5,3,5,4,3,4,4,3,5,4,4,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red
El Chameleon Golf Club,18,Mexico,Quintana Roo,Riviera Maya,20.690168,-87.0331735,6,18,4,14,10,8,16,2,12,13,15,3,9,1,17,5,11,7,5,3,4,4,4,4,3,5,4,3,4,4,5,4,3,5,4,4,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red,Black|White|Green|Red
