golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Green Valley Country Club,18,United States,South Carolina,Greenville,35.0054322,-82.6306946,5,1,13,3,17,15,9,11,7,8,4,10,6,18,14,2,16,12,4,5,3,4,4,5,4,3,4,4,4,4,5,3,4,5,3,4,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White,Gold|Green|Blue|Black|White
Hartefeld National Golf Club,18,United States,Pennsylvania,Avondale,39.8035079,-75.727212,5,15,3,1,11,7,9,17,13,10,18,14,2,16,12,4,6,8,5,3,4,4,5,3,4,5,3,4,3,4,5,3,4,5,4,4,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue,Gold|Black|Blue
Cobble Beach Golf Club,18,Canada,Ontario,Owen Sound,44.6732285,-80.9304085,13,11,7,15,1,9,5,17,3,2,10,8,4,16,18,12,14,6,4,4,4,4,4,3,5,3,5,4,4,5,4,3,4,4,3,5,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red
Lora Bay Golf Club,18,Canada,Ontario,Meaford,44.5617934,-80.4551279,3,11,17,1,9,5,15,13,7,4,6,16,2,8,14,10,18,12,4,4,3,5,4,5,3,4,4,5,4,3,5,4,3,5,3,4,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White,Black|White
