golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Vastervik GK,18,Sweden,Smaland,Vastervik,57.7723284,16.6548819,1,15,11,17,9,5,13,3,7,14,18,8,2,16,10,12,6,4,4,4,4,3,5,4,3,4,5,4,3,5,4,3,4,4,4,5,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Mauritzberg GK,18,Sweden,Norrkoping,Mauritzberg,58.6058321,16.6762027,9,3,5,15,13,11,17,7,1,12,14,6,16,4,8,18,2,10,5,4,4,3,4,5,3,4,4,4,4,4,3,4,5,3,4,5,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Vadstena GK,18,Sweden,Ostergotland,Vadstena,58.4213103,14.8939956,1,9,11,3,17,7,15,5,13,2,18,6,4,12,10,14,8,16,5,4,4,5,3,4,3,5,3,5,3,4,4,4,5,4,3,4,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red
Finley Golf Club,18,Australia,New South Wales,Finley,-35.6506256,145.5633483,4,14,16,6,2,17,12,8,10,11,18,9,7,3,5,13,1,15,5,4,3,4,4,3,5,4,5,5,3,5,3,4,4,4,4,3,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red
Jaypee Greens Wish Town,18,India,Uttar Pradesh,Noida,28.5369929,77.3437904,13,15,5,1,17,7,3,11,9,12,2,6,8,18,4,16,14,10,4,3,4,4,3,4,4,3,4,4,5,3,4,3,3,3,5,4,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red
