golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Trump National - Blue Monster,18,United States of America,Florida,Miami,25.8140459,-80.342015,11,17,1,3,13,5,9,7,15,10,18,8,2,6,16,14,12,4,5,4,4,3,4,4,4,5,3,5,4,5,3,4,3,4,4,4,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red
Fox Hills - Golden Fox,18,United States of America,Plymouth,Michigan,42.363516,-83.5976972,3,13,17,11,5,15,7,1,9,12,2,14,18,16,10,4,6,8,4,4,3,4,5,3,4,5,4,4,5,3,4,3,4,4,5,4,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red
Fox Hills - Hill to Woodlands,18,United States of America,Plymouth,Michigan,42.3702045,-83.59791,15,9,5,3,1,17,11,13,7,8,12,16,4,14,6,2,18,10,4,5,3,4,4,3,4,4,4,4,4,3,4,3,5,4,4,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Fox Hills - Lake to Hills,18,United States of America,Plymouth,Michigan,42.6730271,-88.3133637,5,15,1,17,7,3,13,11,9,16,10,6,4,2,18,12,14,8,4,3,4,4,3,4,4,4,5,4,5,3,4,4,3,4,4,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
