golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Maccauvlei Golf Club,18,South Africa,Gauteng,Viljoensdrift,-26.6821983,27.9403434,5,13,17,3,11,7,15,9,1,6,2,10,8,14,12,16,4,18,4,5,4,4,3,4,5,3,4,4,4,4,4,3,5,3,4,5,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
Brackenridge Golf Course,18,United States,Texas,San Antonio,29.4494347,-98.4793048,17,5,1,13,15,11,9,7,3,8,12,4,10,2,18,6,16,14,4,3,5,4,4,4,4,3,5,3,4,5,5,4,3,4,4,3,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Golfbaan Regthuys,18,Netherlands,Noord-Holland,Winkel,52.7517051,4.9114406,8,14,2,12,4,16,10,18,6,9,17,3,13,1,7,15,5,11,4,4,5,4,4,4,3,3,4,4,3,4,4,5,5,3,4,4,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
Bentwinds Golf Club,18,United States,Fuquay Varina,North Carolina,35.6241508,-78.7707365,5,17,7,15,13,1,11,9,3,12,18,6,8,10,14,2,16,4,5,4,3,4,5,4,4,3,4,5,3,4,4,5,3,4,4,4,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
Harewood Golf Course,18,New Zealand,Canterbury,Christchurch,-43.4779339,172.5189037,5,9,7,13,17,3,1,15,11,2,8,12,10,14,16,4,18,6,4,4,4,4,3,4,5,5,4,4,4,4,4,3,5,4,3,4,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue
Pine Dunes Golf course,18,United States,Texas,Frankston,31.9783325,-95.5411977,11,17,15,1,9,3,5,13,7,8,4,12,10,6,16,18,2,14,4,4,3,4,5,3,4,4,5,4,5,3,4,4,4,3,4,5,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White
