golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Country Club of Newberry,18,United States of America,South Carolina,Newberry,34.3030015,-81.6523591,13,17,15,9,5,3,7,1,11,6,8,14,18,12,10,4,16,2,4,4,3,5,4,5,3,4,4,5,4,4,3,5,4,4,3,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Shannon Greens Golf Club,18,United States of America,South Carolina,Manning,33.6668044,-80.1948887,12,8,16,10,14,2,6,4,18,9,13,15,7,17,11,1,3,5,4,5,3,5,4,5,3,4,3,5,3,4,4,4,3,5,4,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Wyboo Golf Club,18,United States of America,South Carolina,Manning,33.5866444,-80.2208913,3,17,1,13,7,5,11,15,9,10,6,12,14,2,4,18,16,8,5,4,4,3,4,4,3,4,5,5,4,4,3,4,4,3,5,4,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red
Lake Marion Golf Course,18,United States of America,South Carolina,Santee,33.4882205,-80.4666109,11,17,3,1,13,7,5,15,9,4,18,2,10,16,8,14,6,12,5,3,4,5,4,3,4,4,4,4,3,4,4,4,4,5,3,5,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Santee National Golf Club ,18,United States of America,South Carolina,Santee,33.49223,-80.5005742,13,11,3,9,17,7,1,5,15,16,8,6,2,14,12,10,18,4,4,5,4,4,3,5,3,4,4,5,4,4,3,4,4,4,3,5,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red,Black|White|Gold|Red
Legend Oaks Golf Club,18,United States of America,South Carolina,North Charleston,32.9459705,-80.2345527,1,9,17,5,3,7,15,11,13,10,18,8,12,2,6,4,16,14,4,4,3,5,4,5,4,3,4,4,3,4,4,4,5,4,3,5,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red
