golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Stadium Golf Club,18,United States,New York,Schenectady,42.7795549,-73.9185635,3,1,17,11,15,5,9,13,7,6,4,12,10,2,16,14,8,18,4,4,4,4,3,4,4,3,5,4,4,3,4,4,3,5,4,5,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red
Legends - Heathland Course,18,United States,South Carolina,Myrtle Beach,33.7432518,-79.0055658,3,15,13,9,7,1,11,17,5,4,10,18,12,14,16,2,8,6,4,4,3,4,5,4,5,3,4,4,4,3,5,4,4,4,3,4,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red
Legends - Moorland Course,18,United States,South Carolina,Myrtle Beach,33.7432518,-79.0055658,11,9,7,1,17,15,5,13,3,8,16,2,18,10,6,14,12,4,4,5,4,4,3,5,3,4,4,4,5,4,3,4,5,4,3,4,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red
Legends - Parkland Course,18,United States,South Carolina,Myrtle Beach,33.7432518,-79.0055658,12,2,16,10,14,4,6,18,8,15,17,3,9,1,7,13,11,5,4,4,3,5,3,4,4,5,4,4,5,4,3,4,5,3,4,4,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red
Legends - Heritage Course,18,United States,South Carolina,Pawleys Island,33.6631088,-79.1277571,4,8,10,2,12,14,6,18,16,11,17,13,9,1,5,7,3,15,4,5,4,4,4,3,4,3,4,5,3,4,3,4,4,4,4,5,Gold|Blue|White|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red,Blue|White|Green|Red
Legends - Oyster Bay Course,18,United States,North Carolina,Sunset Beach,33.6631088,-79.1277571,7,1,3,11,9,17,13,15,5,4,6,18,14,16,8,2,10,12,4,4,4,5,3,3,4,3,5,4,4,4,4,5,3,4,3,4,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red
