golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Treetops Resort: Masterpiece,18,United States,Michigan,Gaylord,45.0330668,-84.5913768,13,17,1,11,3,15,5,7,9,4,6,2,12,14,16,18,8,10,5,3,4,3,5,3,4,4,4,5,4,4,3,4,4,3,4,5,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
Treetops Resort: Premier,18,United States,Michigan,Gaylord,45.0330668,-84.5913768,5,11,1,13,17,15,3,7,9,8,16,10,4,2,18,12,14,6,4,5,4,3,4,5,4,3,4,4,3,5,4,4,4,5,3,4,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
Treetops Resort: Signature,18,United States,Michigan,Gaylord,45.0330668,-84.5913768,7,17,3,15,1,5,9,13,11,4,14,10,2,8,6,18,16,12,4,3,4,3,4,5,4,3,4,5,3,4,4,4,5,4,3,4,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red
Treetops Resort: Tradition,18,United States,Michigan,Gaylord,45.0330668,-84.5913768,9,3,7,5,1,13,11,17,15,8,2,14,18,6,10,4,16,12,4,4,5,4,4,3,4,4,3,5,4,3,4,4,3,4,3,5,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
