golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Powfoot Golf Club,18,Scotland,Dumfriesshire,Annan,54.9788271,-3.3451447,11,9,1,13,17,3,15,5,7,2,10,18,12,6,16,4,14,8,4,5,4,4,4,4,3,4,4,4,4,3,4,5,3,4,4,4,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
Hollandbush Golf Club,18,Scotland,Lanarkshire,Lesmahagow,55.6130853,-3.8883954,3,7,11,1,13,15,9,17,5,12,6,10,14,16,8,2,18,4,5,4,4,4,4,3,5,4,4,3,4,4,3,4,4,5,4,4,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red
Bibury Course - Salisbury and South Wilts Golf Club ,18,United Kingdom,Wiltshire,Salisbury,51.0625953,-1.843395,9,3,13,1,15,7,11,17,5,6,2,12,8,18,14,4,10,16,4,4,4,4,4,3,5,3,4,5,4,4,3,4,4,5,4,3,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red
Catherdral Course - Salisbury and South Wilts Golf Club,18,United Kingdom,Wiltshire,Salisbury,51.0631378,-1.8408736,16,4,18,14,12,6,2,10,8,15,3,17,13,11,5,1,9,7,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red,White|Yellow|red
Nordkurs - Golfpark Idstein Golf Club,18,Germany,Hassen,Idstein-Worsdorf,50.2583934,8.2507013,5,17,11,13,9,15,7,1,3,10,2,14,18,12,8,6,16,4,4,5,4,3,4,3,5,4,4,4,5,3,4,3,4,5,4,4,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red
Sudkurs - Golfpark Idstein Golf Club,18,Germany,Hassen,Idstein-Worsdorf,50.2583934,8.2507013,5,11,3,17,1,9,15,7,13,4,14,16,8,6,18,10,12,2,4,4,4,3,5,3,5,4,4,5,4,3,4,4,3,4,5,4,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red,Yellow|Red
