golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
SevenHills Country Club,18,United States,Ohio,Hartville,40.950686,-81.3090377,13,17,5,7,9,11,1,15,3,18,12,14,2,16,4,10,8,6,5,3,4,4,4,3,4,5,4,5,4,3,4,5,3,4,4,4,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White
Heritage Hill Golf Club,18,United States,Kentucky,Shepherdsville,37.9932257,-85.6721753,8,16,4,2,18,12,10,14,6,13,17,1,15,3,11,9,5,7,5,3,4,5,3,4,3,4,5,5,3,4,4,4,3,5,4,4,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold,Black|Blue|White|Gold
Rain Tree Country Club,18,United States,Ohio,Union Town,40.9532407,-81.4585645,3,13,7,11,17,1,15,9,5,18,8,16,2,4,10,14,6,12,4,5,4,3,4,4,5,3,4,4,3,4,4,4,5,3,4,5,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White
