golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Abbeville Country Club,18,United States,Louisiana,Abbeville,30.0394839,-92.1210498,13,11,9,1,15,7,5,3,17,12,16,6,4,14,18,10,8,2,4,5,4,4,3,5,4,5,3,4,3,4,4,3,3,4,5,5,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red
Abita Springs Golf & Country Club,18,United States,Louisiana,Abita Springs,30.4986048,-89.9545762,9,7,15,11,1,17,3,13,5,8,2,10,12,4,6,16,18,14,5,4,3,4,5,3,4,4,4,4,5,4,3,4,5,3,4,4,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red
Alexandria Golf & Country Club,18,United States,Louisiana,Woodworth,31.1993681,-92.5070748,13,1,17,7,11,15,9,3,5,14,2,18,8,16,10,6,12,4,5,4,3,4,4,4,3,5,4,4,5,3,4,3,4,5,4,4,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red,Blue|White|Gold| Red
Audubon Park Golf Course,18,United States,Louisiana,New Orleans,29.9306021,-90.1284352,6,16,4,14,10,12,18,8,2,7,17,3,15,11,9,13,1,5,4,3,3,3,4,3,3,3,5,4,3,3,3,4,3,3,3,5,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red
Bayou Bend Country Club,18,United States,Louisiana,Crowley,30.1957993,-92.384407,17,15,11,1,7,13,5,3,9,14,12,18,8,2,4,10,16,6,4,4,3,4,4,3,4,4,5,3,4,4,3,5,5,4,4,4,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold,White|Gold
