golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Stonebridge Golf Club,18,Canada,Ontario,Ottawa,45.2529439,-75.7243198,3,7,13,1,5,9,17,11,15,8,6,2,18,14,12,4,10,16,4,3,5,4,5,4,3,4,4,5,3,4,4,4,3,4,3,5,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red,Black|Blue|Gold|White|Red
Northview Golf & Country Club - Ridge Course,18,Canada,British Columbia,Surrey,49.1245881,-122.767024,9,3,1,5,17,13,7,11,15,16,18,4,8,10,12,14,6,2,4,4,4,5,3,4,5,4,3,4,3,5,4,4,4,3,4,5,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red
Northview Golf & Country Club - Canal Course,18,Canada,British Columbia,Surrey,49.1245881,-122.767024,9,17,7,11,13,15,5,3,1,6,16,18,12,14,4,10,2,8,5,4,3,4,4,3,4,5,4,4,4,5,4,3,4,4,3,5,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red,Gold|Blue|White|Green|Red
Darnall Country Club,18,South Africa,Kwazulu Natal,Darnall,-29.2662627,31.3678574,8,14,6,10,4,12,18,16,2,7,13,9,5,3,11,17,15,1,4,3,4,5,4,5,4,3,4,4,3,4,5,4,5,4,3,4,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red
