golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Richmond Park Dukes,18,United Kingdom,Greater London,London,51.4417453,-0.2456367,3,17,9,13,7,5,1,11,15,14,4,2,10,18,8,16,12,6,4,4,3,4,5,4,4,4,3,5,4,4,4,3,4,3,4,3,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
Richmond Park Princes,18,United Kingdom,Greater London,London,51.4417453,-0.2456367,13,7,9,3,17,15,1,5,11,8,18,12,14,4,10,2,6,16,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4,5,4,5,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Bears Best,18,United States,Nevada,Las Vegas,36.1206695,-115.3394883,11,5,3,9,1,15,13,17,7,6,18,10,16,4,8,14,12,2,4,5,4,3,4,4,3,5,4,4,4,5,3,4,3,4,5,4,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White,Yellow|Blue|White
