golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Ladys Island Country Club - Pines,18,United States,South Carolina,Beaufort,32.4313889,-80.6833,1,17,9,5,15,11,3,13,7,2,18,12,4,14,8,10,6,16,4,3,5,4,3,4,4,5,4,4,3,5,4,3,4,4,5,4,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold
Ladys Island Country Club - Players,18,United States,South Carolina,Beaufort,32.4313889,-80.6833,11,5,1,9,15,3,7,13,17,10,18,14,8,6,12,2,16,4,4,5,4,4,3,5,4,4,3,5,4,4,5,4,3,4,3,4,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold
Ocean Point Golf Course,18,United States,South Carolina,Beaufort,32.4313889,-80.6833,17,13,3,15,7,9,5,1,11,18,12,14,4,6,10,2,16,8,4,3,4,5,4,5,3,4,4,4,3,5,4,4,3,4,4,5,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue
Ocean Creek Golf Course,18,United States,South Carolina,Beaufort,32.4313889,-80.6833,9,7,15,17,11,13,1,3,5,4,2,18,10,14,16,8,6,12,5,4,3,4,4,3,4,5,3,4,4,3,4,4,3,5,4,5,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue,Black|Gold|Blue
TPC Pleasant Point Plantation ,18,United States,South Carolina,Beaufort,32.4313889,-80.6833,14,8,6,18,2,12,16,4,10,13,15,7,9,5,17,11,1,3,5,4,4,3,4,5,4,4,3,4,3,4,5,4,3,5,4,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Sanctuary Golf Club,18,United States,South Carolina,Beaufort,32.4313889,-80.6833,3,1,7,17,15,9,5,13,11,10,14,12,18,8,2,16,6,4,4,4,4,3,3,4,4,5,4,4,4,4,3,4,5,3,4,5,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold
