golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Greywolf Golf Club,18,Canada,British Columbia,Panorama,50.4516158,-116.251187,3,15,1,11,13,7,5,9,17,12,14,18,2,4,16,8,10,6,4,4,5,4,5,3,4,4,3,5,4,3,4,5,3,4,4,4,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White,Black|Blue|White
Vilamoura - Faldo Course,18,Portugal,Vilamoura,Silves,37.1000261,-8.1390716,7,17,11,3,9,5,13,1,15,8,16,6,2,10,14,18,4,12,4,3,4,5,4,5,3,4,4,4,3,4,5,4,4,3,4,5,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Vilamoura - Oceanico Victoria,18,Portugal,Vilamoura,Algarve,37.1000261,-8.1390716,9,13,5,3,11,15,1,17,7,10,14,2,18,6,16,12,8,4,4,4,5,4,5,3,4,3,4,4,4,5,3,4,4,3,5,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Vilamoura - Oceanico O'Connor,18,Portugal,Vilamoura,Silves,37.1000261,-8.1390716,11,7,15,3,17,9,5,1,13,6,14,8,18,2,4,12,16,10,5,4,3,4,5,3,4,4,4,4,5,4,3,4,4,5,3,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Vilamoura - Oceanico Old Course,18,Portugal,Vilamoura,Algarve,37.1000261,-8.1390716,17,5,9,15,10,11,7,1,13,18,4,6,16,8,14,2,12,3,4,5,4,3,5,3,4,4,4,3,4,5,4,5,3,5,4,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Vilamoura - Oceanico Pinhal,18,Portugal,Vilamoura,Algarve,37.100195,-8.1543925,14,4,10,8,18,2,6,12,16,5,11,13,1,17,15,9,3,7,5,4,5,4,3,4,4,3,4,4,4,3,5,3,4,4,5,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Vilamoura - Oceanico Millennium,18,Portugal,Vilamoura,Algarve,37.1000261,-8.1390716,9,7,11,3,1,13,5,17,15,8,12,16,14,6,18,2,10,4,4,4,3,5,4,3,4,5,4,4,5,4,3,4,3,4,4,5,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Vilamoura - Oceanico Laguna,18,Portugal,Vilamoura,Algarve,37.1000261,-8.1390716,16,12,4,6,8,18,10,14,2,17,7,5,1,3,13,15,11,9,5,3,4,3,4,4,4,5,4,5,4,3,4,4,5,4,3,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Longbow Golf Course,18,United States,Arizona,Mesa,33.4720738,-111.7122647,9,11,15,1,7,5,13,17,3,4,10,8,14,2,18,6,12,16,5,4,3,4,4,4,3,4,4,4,3,4,4,4,5,3,4,5,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red,Black|Green|White|Red
