golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Links Shellcove Golf Course,18,Australia,New South Wales,Shell Harbour,-34.5976461,150.8465317,17,8,14,15,6,11,16,1,2,12,7,18,5,10,13,4,9,3,4,4,5,3,5,3,3,4,4,4,4,3,4,5,3,4,5,4,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red,Blue|Red
Magnolia Park Golf Course,18,United Kingdom,Buckinghamshire,Boarstall,51.8196543,-1.1035677,11,9,17,5,1,7,15,3,13,6,12,14,8,18,2,4,10,16,5,3,5,4,4,4,3,5,4,4,3,4,5,4,4,4,3,5,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
TorreQuebrada Golf Course,18,Spain,Malaga,Benalmedena,36.58804,-4.5487706,9,6,18,12,15,4,13,3,17,2,14,5,16,7,10,1,8,11,5,4,3,4,4,5,4,4,3,4,3,5,3,5,4,4,4,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
La Cala - Campo America,18,Spain,Malaga,Mijas Costa,36.5420866,-4.7222328,10,14,16,6,12,2,4,18,8,7,13,5,3,15,1,17,9,11,5,4,4,3,4,5,4,3,5,4,3,4,4,3,5,3,4,5,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
La Cala - Campo Asia,18,Spain,Malaga,Mijas Costa,36.5420866,-4.7222328,12,16,18,2,10,4,14,8,6,1,13,3,5,17,11,7,15,9,4,4,3,4,5,4,3,4,5,5,3,4,4,4,4,5,3,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
La Cala - Campo Europe,18,Spain,Malaga,Mijas Costa,36.5420866,-4.7222328,18,8,14,2,6,12,4,10,16,17,1,13,9,7,5,15,3,11,4,4,3,4,4,4,4,5,3,3,5,4,4,3,5,3,5,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
San Roque - Old Course,18,Spain,Cadiz,Soto Grande,36.2660153,-5.338204,5,7,15,13,9,1,11,3,17,8,2,4,10,18,12,16,14,6,4,4,3,4,5,4,3,4,5,5,4,4,4,3,4,3,5,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
San Roque - New Course,18,Spain,Cadiz,Soto Grande,36.2660153,-5.3382047,13,15,9,7,17,5,1,11,3,16,2,18,14,4,8,10,12,6,4,5,4,3,4,4,5,3,4,4,5,4,3,4,4,5,3,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
