golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Owls Nest Golf course and resorts,18,United States,New Hampshire,Campton,43.8701508,-71.6565437,13,7,1,3,17,11,9,15,5,18,12,4,2,16,10,6,8,14,4,4,4,5,3,4,3,4,5,3,4,4,5,3,4,4,5,4,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green,Black|Blue|White|Gold|Green
Seacliff Country Club,18,United States,California,Huntington Beach,33.6758152,-118.0206198,5,15,3,7,1,11,13,9,17,10,12,8,16,2,14,4,18,6,5,4,3,5,4,4,4,4,3,4,4,5,3,4,4,4,3,5,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White,Green|Blue|White
Colonial Country Club,18,United States,Texas,Fort Worth,32.717053,-97.3749443,9,11,3,17,1,13,5,15,7,6,2,4,16,8,14,18,12,10,5,4,4,3,4,4,4,3,4,4,5,4,3,4,4,3,4,4,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White,Black|Blue|Gold|White
