golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Wigwam Golf - Gold Course,18,United States,Arizona,Phoenix,33.4983782,-112.3597766,5,13,15,3,11,17,9,1,7,2,16,14,8,4,12,18,6,10,5,4,3,5,4,3,4,4,4,5,3,4,4,5,4,3,4,4,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red
Wigwam Golf - Patriot Course,18,United States,Arizona,Phoenix,33.4983782,-112.3597766,1,13,7,15,3,9,11,5,17,2,12,6,14,10,16,8,18,4,5,3,5,3,5,4,4,4,3,5,4,4,3,4,3,4,3,4,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red,Black|Blue|Yellow|Red
Wigwam Golf - Heritage Course,18,United States,Arizona,Phoenix,33.4983782,-112.3597766,9,15,11,3,17,1,7,13,5,14,12,18,4,10,8,6,16,2,4,3,4,5,3,5,4,4,4,4,4,3,5,4,4,4,3,5,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red
